No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
1,亜,亜種,あしゅ,sub-(species),S,N1,1
4,愛,愛,あい,love,G4,N3,1
6,悪,悪い,わるい,bad,G3,N4,1
12,安,安い,やすい,cheap inexpensive,G3,N4,1
13,案,案内,あんない,guide/like a map,G4,N1,1
15,以,以上,いじょう," ""thats all""",G4,N4,1
33,意,意味,いみ,meaning,G3,N4,1
41,一,一/一つ,いち/ひとつ,one,G1,N5,1
46,引,引く,ひく,pull,G2,N3,1
51,員,店員,てんいん,shop staff,G3,N4,1
52,院,病院,びょういん,hospital,G3,N4,1
55,飲,のむ,のむ,to drink,G3,N4,1
58,右,右,みぎ,right,G1,N5,1
60,羽,羽,はね,wings,G2,N2,1
61,雨,雨,あめ,rain,G1,N5,1
69,泳,泳ぐ,およぐ,swim,G3,N3,1
71,映,映画,えいが,movie,G6,N4,1
82,駅,駅,えき,station,G3,N4,1
87,円,円,えん,yen,G1,N5,1
95,園,公園,こうえん,public park,G2,N3,1
104,汚,汚い,きたない,dirty,S,N2,1
105,王,王様,おうさま,King,G1,N3,1
106,凹,凸凹,でこぼこ,uneven surface,S,N1,1
107,央,中央,ちゅうおう,Chuo,G3,N2,1
114,桜,桜,さくら,cherry blossom,G5,N1,1
116,奥,奥さん,おくさん,wife,S,N2,1
119,屋,本屋,ほんや,book shop,G3,N4,1
120,億,億,おく,one hundred million,G4,N2,1
124,乙,乙,おとめ,maiden young girl,S,N1,1
127,音,音/音楽,おと/おんがく,sound/music,G1,N4,1
129,温,温泉,おんせん,onsen,G3,N2,1
131,下,下,した,below,G1,N5,1
132,化,文化,ぶんか,culture,G3,N3,1
133,火,火/火曜日,ひ/かようび,flame/tuesday,G1,N5,1
137,何,何に?,なに?,what?,G2,N5,1
138,花,花,はな,flower,G1,N4,1
146,夏,夏,なつ,summer,G2,N4,1
147,家,家,いえ,house,G2,N4,1
153,過,過ぎる,すぎる,too much,G5,N3,1
159,歌,歌,うた,song,G2,N4,1
167,画,映画,えいが,movie,G2,N4,1
173,回,回 （ex. 四回）,かい　（ex. よんかい）,times (ex. four times),G2,N3,1
175,会,会議,かいぎ,meeting,G2,N4,1
182,海,海,うみ,ocean,G2,N4,1
184,皆,皆,みんな,everyone,S,N3,1
186,絵,絵,え,picture,G2,N3,1
187,開,開ける/開く,あける/ひらく,to open/to slide open,G3,N4,1
188,階,階,かい,floor,G3,N2,1
196,貝,貝,かい,shellfish,G1,N2,1
197,外,外,そと,outside/foreign,G2,N5,1
211,角,角,かど,corner,G2,N2,1
226,学,学校,がっこう,school,G1,N5,1
228,楽,楽しい,たのしい,fun,G2,N4,1
234,活,生活,せいかつ,daily life,G2,N3,1
249,甘,甘い,あまい,sweet,S,N2,1
263,寒,寒い,さむい,cold,G3,N3,1
270,間,間,かん,length of time,G2,N5,1
275,感,感,かんじ,feeling,G3,N3,1
276,漢,漢字,かんじ,Kanji,G3,N4,1
279,関,関西,かんさい,Kansai,G4,N3,1
285,館,図書館,としょかん,Library ,G3,N4,1
292,丸,丸,まるい,round,G2,N2,1
299,顔,顔,かお,face,G2,N3,1
300,願,お願い,おねがい,wish,G4,N3,1
303,危,危ない,あぶない,dangerous,G6,N3,1
304,机,机,つくえ,desk,G6,N2,1
305,気,元気,げんき,genki,G1,N5,1
307,希,希望,きぼう,request,G4,N2,1
312,季,季節,きせつ,season,G4,N2,1
316,記,日記,にっき,diary,G2,N3,1
317,起,起きる,おきる,to wake up,G3,N4,1
320,帰,帰る,かえる,to return home,G2,N4,1
328,期,期間,きかん,period of time,G3,N3,1
355,客,客,きゃく,customer,G3,N3,1
359,九,九,きゅう,nine,G1,N5,1
360,久,久しぶり,ひさしぶり,long time no see,G5,N2,1
365,休,休む,やすむ,rest,G1,N5,1
370,究,研究,けんきゅう,research,G3,N4,1
371,泣,泣,なく,cry,G4,N1,1
372,急,急ぐ,いそぐ,hurry,G3,N4,1
377,球,地球,ちきゅう,earth (sphere),G3,N3,1
381,牛,牛,うし,cow,G2,N4,1
391,魚,魚,さかな,fish,G2,N4,1
